Date,Product Name,Quantity
2021-10-18,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2021-10-21,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-10-25,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-10-26,Food Fairy Mini Feta &amp; Coriander Samosas x 8,5
2021-10-28,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2021-10-29,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-11-01,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-11-03,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-11-09,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-11-10,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-11-11,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-11-13,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-11-14,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-11-15,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-11-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-11-22,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-11-24,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-11-25,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-11-26,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-11-29,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-11-30,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-12-02,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-12-03,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-12-04,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-12-05,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-12-06,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-12-07,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-12-08,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-12-10,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-12-11,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-12-14,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-12-16,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-12-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-12-21,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-12-22,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-12-23,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2021-12-24,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-12-28,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-12-29,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2022-01-06,Food Fairy Mini Feta & Coriander Samosas x 8,3
2022-01-06,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2022-01-07,Food Fairy Mini Feta & Coriander Samosas x 8,4
2022-01-07,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2022-01-09,Food Fairy Mini Feta & Coriander Samosas x 8,1
2022-01-09,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2022-01-10,Food Fairy Mini Feta & Coriander Samosas x 8,2
2022-01-10,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
