Date,Product Name,Quantity
2020-04-27,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
2020-04-28,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-04-30,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-05-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),11
2020-05-13,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-05-14,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-05-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-05-16,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-05-18,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-05-19,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-05-20,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-05-21,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-05-23,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-05-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
2020-05-27,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),7
2020-05-28,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),7
2020-06-02,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-06-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-06-04,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-06-06,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-06-08,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
2020-06-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-06-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
2020-06-12,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-06-13,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-06-14,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-06-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-06-16,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-06-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-06-18,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-06-22,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2020-06-23,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-06-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-06-25,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-06-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2020-06-29,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-06-30,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-07-01,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2020-07-02,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-07-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2020-07-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2020-07-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),7
2020-07-13,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
