Date,Product Name,Quantity
2020-04-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-04-28,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,7
2020-04-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,9
2020-05-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-05-04,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-05-05,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-05-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-05-11,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,12
2020-05-12,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-05-16,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,8
2020-05-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-05-19,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-05-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-05-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-05-22,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-05-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,9
2020-05-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,9
2020-06-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,12
2020-06-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-06-04,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,6
2020-06-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-06-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-06-11,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-06-22,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-06-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-06-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-06-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,11
2020-06-29,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-07-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-07-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-07-07,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-07-15,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-07-28,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-07-29,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-07-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,5
2020-08-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,5
2020-08-05,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-08-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-08-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-08-10,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-08-11,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-08-13,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-08-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,6
2020-08-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-08-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-08-24,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,6
2020-08-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-08-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-08-27,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,5
2020-08-28,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,9
2020-08-31,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-09-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,5
2020-09-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-09-11,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-09-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,6
2020-09-16,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-09-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-09-22,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,5
2020-09-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-10-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,6
2020-10-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-10-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-10-10,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-10-12,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-10-13,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-10-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-10-15,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-10-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-10-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-10-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-10-27,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-10-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2020-10-31,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-11-04,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,5
2020-11-05,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-11-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,9
2020-11-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-11-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,1
2020-12-01,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,10
2020-12-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2020-12-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,7
2020-12-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-12-28,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2020-12-29,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2021-01-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2021-01-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2021-01-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2021-01-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2021-01-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,12
2021-02-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,7
2021-02-06,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2021-02-15,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,3
2021-02-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,4
2021-02-24,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
2021-02-28,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea,2
