Date,Product Name,Quantity
2020-11-05,Healthy Kajuju Almond &amp; Raisin Granola,5
2020-11-11,Healthy Kajuju Almond &amp; Raisin Granola,2
2020-11-16,Healthy Kajuju Almond &amp; Raisin Granola,2
2020-11-20,Healthy Kajuju Almond &amp; Raisin Granola,1
2020-11-23,Healthy Kajuju Almond &amp; Raisin Granola,1
2020-11-24,Healthy Kajuju Almond &amp; Raisin Granola,5
2020-11-26,Healthy Kajuju Almond &amp; Raisin Granola,2
2020-12-01,Healthy Kajuju Almond &amp; Raisin Granola,3
2020-12-09,Healthy Kajuju Almond &amp; Raisin Granola,4
2020-12-14,Healthy Kajuju Almond &amp; Raisin Granola,6
2020-12-20,Healthy Kajuju Almond &amp; Raisin Granola,5
2020-12-28,Healthy Kajuju Almond &amp; Raisin Granola,4
2021-01-03,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-01-06,Healthy Kajuju Almond &amp; Raisin Granola,2
2021-01-08,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-01-15,Healthy Kajuju Almond &amp; Raisin Granola,4
2021-01-21,Healthy Kajuju Almond &amp; Raisin Granola,7
2021-01-28,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-01-29,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-02-02,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-02-03,Healthy Kajuju Almond &amp; Raisin Granola,4
2021-02-05,Healthy Kajuju Almond &amp; Raisin Granola,6
2021-02-09,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-02-10,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-02-15,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-02-18,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-02-23,Healthy Kajuju Almond &amp; Raisin Granola,3
2021-02-24,Healthy Kajuju Almond &amp; Raisin Granola,2
2021-02-26,Healthy Kajuju Almond &amp; Raisin Granola,2
2021-03-05,Healthy Kajuju Almond &amp; Raisin Granola,3
2021-03-11,Healthy Kajuju Almond &amp; Raisin Granola,5
2021-03-12,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-03-17,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-03-22,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-03-24,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-03-26,Healthy Kajuju Almond &amp; Raisin Granola,3
2021-03-30,Healthy Kajuju Almond &amp; Raisin Granola,2
2021-04-01,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-04-08,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-04-09,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-04-19,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-04-21,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-04-26,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-04-30,Healthy Kajuju Almond &amp; Raisin Granola,2
2021-05-03,Healthy Kajuju Almond &amp; Raisin Granola,2
2021-05-05,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-05-10,Healthy Kajuju Almond &amp; Raisin Granola,5
2021-05-12,Healthy Kajuju Almond &amp; Raisin Granola,2
2021-05-14,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-05-18,Healthy Kajuju Almond &amp; Raisin Granola,3
2021-05-20,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-05-21,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-05-31,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-06-02,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-06-05,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-06-16,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-06-18,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-06-24,Healthy Kajuju Almond &amp; Raisin Granola,7
2021-06-28,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-07-04,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-07-07,Healthy Kajuju Almond &amp; Raisin Granola,2
2021-07-08,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-07-14,Healthy Kajuju Almond &amp; Raisin Granola,7
2021-07-17,Healthy Kajuju Almond &amp; Raisin Granola,5
2021-07-27,Healthy Kajuju Almond &amp; Raisin Granola,3
2021-07-29,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-08-05,Healthy Kajuju Almond &amp; Raisin Granola,6
2021-08-06,Healthy Kajuju Almond &amp; Raisin Granola,3
2021-08-07,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-08-12,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-08-13,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-08-14,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-08-20,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-08-24,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-09-01,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-09-02,Healthy Kajuju Almond &amp; Raisin Granola,4
2021-09-07,Healthy Kajuju Almond &amp; Raisin Granola,5
2021-09-09,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-09-10,Healthy Kajuju Almond &amp; Raisin Granola,3
2021-09-14,Healthy Kajuju Almond &amp; Raisin Granola,3
2021-09-15,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-09-17,Healthy Kajuju Almond &amp; Raisin Granola,5
2021-09-25,Healthy Kajuju Almond &amp; Raisin Granola,4
2021-09-30,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-10-04,Healthy Kajuju Almond &amp; Raisin Granola,3
2021-10-06,Healthy Kajuju Almond &amp; Raisin Granola,3
2021-10-08,Healthy Kajuju Almond &amp; Raisin Granola,2
2021-10-13,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-10-14,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-10-15,Healthy Kajuju Almond &amp; Raisin Granola,5
2021-10-21,Healthy Kajuju Almond &amp; Raisin Granola,6
2021-10-22,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-10-25,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-10-27,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-10-29,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-10-31,Healthy Kajuju Almond &amp; Raisin Granola,2
2021-11-09,Healthy Kajuju Almond &amp; Raisin Granola,5
2021-11-10,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-11-11,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-11-15,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-11-17,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-11-19,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-11-23,Healthy Kajuju Almond &amp; Raisin Granola,5
2021-11-24,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-11-30,Healthy Kajuju Almond &amp; Raisin Granola,4
2021-12-01,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-12-03,Healthy Kajuju Almond &amp; Raisin Granola,5
2021-12-08,Healthy Kajuju Almond &amp; Raisin Granola,1
2021-12-21,Healthy Kajuju Almond &amp; Raisin Granola,9
2021-12-24,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-01-05,Healthy Kajuju Almond & Raisin Granola,6
2022-01-05,Healthy Kajuju Almond &amp; Raisin Granola,6
2022-01-06,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-01-07,Healthy Kajuju Almond & Raisin Granola,2
2022-01-07,Healthy Kajuju Almond &amp; Raisin Granola,2
2022-01-12,Healthy Kajuju Almond & Raisin Granola,1
2022-01-12,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-01-15,Healthy Kajuju Almond & Raisin Granola,2
2022-01-15,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-01-23,Healthy Kajuju Almond & Raisin Granola,3
2022-01-23,Healthy Kajuju Almond &amp; Raisin Granola,3
2022-01-24,Healthy Kajuju Almond & Raisin Granola,2
2022-01-24,Healthy Kajuju Almond &amp; Raisin Granola,2
2022-01-25,Healthy Kajuju Almond & Raisin Granola,5
2022-01-25,Healthy Kajuju Almond &amp; Raisin Granola,5
2022-01-28,Healthy Kajuju Almond & Raisin Granola,1
2022-01-28,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-01-29,Healthy Kajuju Almond & Raisin Granola,1
2022-01-29,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-01-31,Healthy Kajuju Almond & Raisin Granola,1
2022-01-31,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-02-01,Healthy Kajuju Almond & Raisin Granola,3
2022-02-01,Healthy Kajuju Almond &amp; Raisin Granola,3
2022-02-04,Healthy Kajuju Almond & Raisin Granola,6
2022-02-04,Healthy Kajuju Almond &amp; Raisin Granola,6
2022-02-07,Healthy Kajuju Almond & Raisin Granola,1
2022-02-07,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-02-09,Healthy Kajuju Almond & Raisin Granola,3
2022-02-09,Healthy Kajuju Almond &amp; Raisin Granola,3
2022-02-11,Healthy Kajuju Almond & Raisin Granola,1
2022-02-11,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-02-12,Healthy Kajuju Almond & Raisin Granola,1
2022-02-12,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-02-14,Healthy Kajuju Almond & Raisin Granola,2
2022-02-14,Healthy Kajuju Almond &amp; Raisin Granola,2
2022-02-15,Healthy Kajuju Almond & Raisin Granola,1
2022-02-15,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-02-18,Healthy Kajuju Almond & Raisin Granola,5
2022-02-18,Healthy Kajuju Almond &amp; Raisin Granola,5
2022-02-21,Healthy Kajuju Almond & Raisin Granola,1
2022-02-21,Healthy Kajuju Almond &amp; Raisin Granola,1
2022-02-26,Healthy Kajuju Almond & Raisin Granola,1
