Date,Product Name,Quantity
2021-06-30,Grounded Windows &amp; Mirrors - 500ml,1
2021-07-04,Grounded Windows &amp; Mirrors - 500ml,2
2021-07-07,Grounded Windows &amp; Mirrors - 500ml,1
2021-07-08,Grounded Windows &amp; Mirrors - 500ml,3
2021-07-11,Grounded Windows &amp; Mirrors - 500ml,1
2021-07-14,Grounded Windows &amp; Mirrors - 500ml,1
2021-07-16,Grounded Windows &amp; Mirrors - 500ml,1
2021-07-23,Grounded Windows &amp; Mirrors - 500ml,2
2021-08-06,Grounded Windows &amp; Mirrors - 500ml,2
2021-08-13,Grounded Windows &amp; Mirrors - 500ml,2
2021-08-20,Grounded Windows &amp; Mirrors - 500ml,2
2021-08-24,Grounded Windows &amp; Mirrors - 500ml,1
2021-08-31,Grounded Windows &amp; Mirrors - 500ml,1
2021-09-07,Grounded Windows &amp; Mirrors - 500ml,4
2021-09-10,Grounded Windows &amp; Mirrors - 500ml,1
2021-09-15,Grounded Windows &amp; Mirrors - 500ml,1
2021-09-16,Grounded Windows &amp; Mirrors - 500ml,1
2021-09-18,Grounded Windows &amp; Mirrors - 500ml,2
2021-09-24,Grounded Windows &amp; Mirrors - 500ml,3
2021-09-27,Grounded Windows &amp; Mirrors - 500ml,2
2021-10-01,Grounded Windows &amp; Mirrors - 500ml,1
2021-10-03,Grounded Windows &amp; Mirrors - 500ml,1
2021-10-05,Grounded Windows &amp; Mirrors - 500ml,1
2021-10-08,Grounded Windows &amp; Mirrors - 500ml,1
2021-10-15,Grounded Windows &amp; Mirrors - 500ml,1
2021-10-18,Grounded Windows &amp; Mirrors - 500ml,1
2021-10-25,Grounded Windows &amp; Mirrors - 500ml,1
2021-10-26,Grounded Windows &amp; Mirrors - 500ml,1
2021-11-01,Grounded Windows &amp; Mirrors - 500ml,1
2021-11-02,Grounded Windows &amp; Mirrors - 500ml,2
2021-11-04,Grounded Windows &amp; Mirrors - 500ml,1
2021-11-05,Grounded Windows &amp; Mirrors - 500ml,1
2021-11-10,Grounded Windows &amp; Mirrors - 500ml,1
2021-11-11,Grounded Windows &amp; Mirrors - 500ml,1
2021-11-12,Grounded Windows &amp; Mirrors - 500ml,1
