Date,Product Name,Quantity
2021-10-27,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-11-16,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-11-24,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-11-30,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-12-01,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-12-06,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-12-08,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-12-11,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2021-12-14,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-12-23,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-12-28,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-05,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-01-05,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-09,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-01-09,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-10,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-01-10,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-12,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-01-12,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-13,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-01-13,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-14,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-01-14,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-15,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-01-15,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-18,Kampi Kitchen Strawberry & Raspberry Jam 500g,4
2022-01-18,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2022-01-19,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-01-19,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-27,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-01-27,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-28,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-01-28,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-01-29,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-01-29,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-02-01,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-02-01,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-02-02,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-02-02,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-02-06,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-02-06,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-02-07,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-02-07,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-02-09,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-02-09,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-02-10,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-02-10,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-02-17,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-02-17,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-02-19,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-02-19,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-02-20,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-02-20,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-02-21,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-02-21,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-03-15,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2022-03-17,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-03-21,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2022-03-22,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2022-03-24,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-03-24,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-03-27,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-03-28,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2022-03-29,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-03-31,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-04-01,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-04-06,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-04-11,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2022-04-18,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-04-19,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-04-22,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-04-27,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-04-28,Kampi Kitchen Strawberry & Raspberry Jam 500g,3
2022-05-04,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-05-06,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-05-20,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-05-21,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-05-23,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-05-24,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-05-26,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-05-29,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-06-07,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-06-13,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-06-15,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-06-21,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-06-22,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-06-24,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-06-25,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-06-26,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-06-30,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-07-02,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-07-05,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-07-10,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-07-15,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-07-24,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-07-28,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-07-30,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-08-22,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-08-24,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-08-26,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-08-30,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-09-02,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-09-05,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-09-07,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-09-11,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-09-18,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-09-19,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-09-20,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-09-25,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-09-26,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-09-29,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-10-17,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-10-22,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-10-25,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-10-27,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-11-01,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-11-02,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-11-04,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-11-08,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-11-14,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-11-16,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-11-22,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-11-23,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-11-25,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-12-01,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-12-03,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-12-05,Kampi Kitchen Strawberry & Raspberry Jam 500g,3
2022-12-06,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-12-07,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-12-08,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-12-19,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2022-12-22,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-12-23,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2022-12-24,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2023-01-03,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2023-01-04,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2023-01-05,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2023-01-09,Kampi Kitchen Strawberry & Raspberry Jam 500g,2
2023-01-14,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2023-01-15,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2023-01-18,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-01-18,Kampi Kitchen Strawberry & Raspberry Jam 500g,1
2023-01-19,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-01-20,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-01-23,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-01-24,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-01-27,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-01-29,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-01-30,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-01,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-03,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-04,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-06,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-07,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-11,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-13,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-15,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-02-16,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-17,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-18,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-21,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-02-23,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-03-01,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-03-04,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-03-08,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-03-13,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-03-16,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-03-19,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-03-22,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-03-24,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-03-26,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-03-27,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-03-30,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-03-31,Kampi Kitchen Strawberry & Raspberry Jam - 500g,4
2023-04-01,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-04-02,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-04-04,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-04-17,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-04-22,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-04-25,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-04-27,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-05-14,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-05-15,Kampi Kitchen Strawberry & Raspberry Jam - 500g,4
2023-05-18,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-05-19,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-05-26,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-05-27,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-05-30,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-05-31,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-06-05,Kampi Kitchen Strawberry & Raspberry Jam - 500g,3
2023-06-10,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-06-12,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-06-15,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-06-17,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-06-18,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-06-21,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-06-26,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-07-01,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-07-04,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-07-06,Kampi Kitchen Strawberry & Raspberry Jam - 500g,2
2023-07-07,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-07-08,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
2023-07-09,Kampi Kitchen Strawberry & Raspberry Jam - 500g,1
